Keuwl Accelerometer Data File,,,,,,
2025-05-07 18:45:26,,,,,,
,,,,,,
Time (s),X (m/s2),Y (m/s2),Z (m/s2),R (m/s2),Theta (deg),Phi (deg)
0.230957,5.198709,1.764826,8.115446,9.798043,34.07835,18.751007
0.233582,5.160402,1.84144,8.1346,9.807771,33.962486,19.638458
0.236206,4.873397,2.281674,8.077438,9.705723,33.671024,25.088507
0.238831,4.662708,2.530372,8.039131,9.631783,33.420986,28.487928
0.241455,4.241628,3.04722,7.962516,9.522532,33.261475,35.693779
0.24408,4.069245,3.162142,7.828441,9.372427,33.35677,37.850182
0.246704,4.088398,3.085527,7.713519,9.259258,33.585617,37.041973
0.249329,4.107553,3.008913,7.579743,9.131158,33.891338,36.223965
0.251953,4.394856,2.530372,7.503129,9.056185,34.054134,29.931511
0.254578,4.471471,2.358289,7.77098,9.270583,33.045189,27.807514
0.257202,4.547786,2.185906,8.019978,9.475262,32.176437,25.671398
0.259827,4.547786,2.185906,8.249521,9.670323,31.452171,25.671398
0.262451,4.433164,2.41575,8.421904,9.819228,30.94124,28.587149
0.265076,4.337396,2.606986,8.345289,9.759776,31.232557,31.007919
0.2677,4.050091,3.008913,8.268675,9.686475,31.391184,36.60957
0.270325,4.012084,2.989759,8.40275,9.779656,30.772327,36.693062
0.272949,3.954623,2.970606,8.670602,9.982128,29.702196,36.912888
0.275574,4.126706,2.721908,8.574833,9.89779,29.964144,33.408192
0.278198,4.356549,2.492065,8.536825,9.902893,30.452047,29.770731
0.280823,4.56694,2.262521,8.479364,9.893208,31.008652,26.354404
0.283448,5.102942,1.630751,8.670602,10.19209,31.71007,17.722357
0.286072,5.217864,1.535282,8.881291,10.414438,31.483957,16.395767
0.288697,5.332785,1.458667,9.091681,10.640722,31.303913,15.297826
0.291321,5.179556,1.803133,9.072528,10.601408,31.153412,19.194286
0.293946,4.815937,2.41575,8.977059,10.469799,30.971409,26.639061
0.29657,4.605247,2.683601,8.881291,10.357961,30.970062,30.230503
0.299195,4.337396,2.951452,8.747216,10.199895,30.954165,34.233974
0.301819,4.337396,2.951452,8.632295,10.101514,31.289444,34.233974
0.304444,4.318242,2.951452,8.40275,9.897701,31.901295,34.352009
0.307068,4.528633,2.62614,8.326136,9.835124,32.159298,30.109312
0.309693,4.643554,2.396596,8.517672,9.992847,31.528866,27.298819
0.312317,4.777629,2.166753,8.708909,10.16689,31.063589,24.395264
0.314942,5.083788,1.78398,9.187449,10.650667,30.388269,19.336758
0.317566,5.026327,1.937208,9.110835,10.584142,30.59341,21.077278
0.320191,4.949713,2.090138,9.053374,10.527674,30.687952,22.893101
0.322815,4.624401,2.511218,8.977059,10.405714,30.378351,28.503576
0.32544,4.203321,3.008913,9.015067,10.391963,29.830156,35.596676
0.328064,4.088398,3.066374,9.149142,10.479716,29.186922,36.870571
0.330689,4.069245,3.028067,8.996213,10.327622,29.415304,36.654217
