MOTOR 1,,,,,,,
,,,,,,,
Condition,Time (s),X (m/s2),Y (m/s2),Z (m/s2),R (m/s2),Theta (deg),Phi (deg)
,0.1481543,-0.917647,-1.596611,9.381062,9.560102,11.106118,240.111984
,0.1503015,-0.429512,-1.754537,9.529416,9.699105,10.733317,256.244476
,0.1524486,-0.34337,-1.725823,9.55813,9.718757,10.431357,258.747375
,0.1545958,-0.305085,-1.749752,9.59163,9.754695,10.491019,260.109406
,0.156743,-0.333799,-1.783251,9.649057,9.818131,10.648469,259.397766
,0.1588902,-0.592224,-1.467399,9.830912,9.95745,9.143981,248.021622
,0.1610373,-0.415155,-1.563111,9.577272,9.712869,9.58505,255.125916
,0.1631845,-0.2333,-1.606182,9.692128,9.827085,9.506486,261.735504
,0.1653317,-0.821935,-1.496112,9.519845,9.671679,10.165776,241.216476
,0.1674788,-0.405583,-1.58704,9.706485,9.843731,9.578854,255.664337
,0.169626,-0.357727,-1.295115,9.921839,10.012402,7.712077,254.559189
,0.1717731,-0.817149,-1.3669,9.902697,10.029933,9.135962,239.128525
,0.1739202,-0.544367,-1.371686,10.252048,10.357719,8.191319,248.353851
,0.1760675,-0.558724,-1.003191,10.146765,10.211533,6.456553,240.884506
,0.1782146,-0.692722,-0.921835,9.945767,10.012389,6.613282,233.076599
,0.1803618,-0.687936,-1.165903,10.242477,10.331551,7.529054,239.457428
,0.182509,-0.544367,-1.079761,10.271192,10.342127,6.714489,243.244812
,0.1846561,-0.735793,-0.854836,10.381261,10.442351,6.200647,229.280045
,0.1868033,-0.845863,-1.309472,10.386046,10.502388,8.53617,237.139282
,0.1889505,-0.726222,-1.539183,9.821341,9.967709,9.830954,244.740997
,0.1910976,-0.534796,-1.304687,9.725628,9.827312,8.249383,247.71109
,0.1932448,-0.180658,-1.161117,10.242477,10.309664,6.544725,261.15625
,0.195392,-0.577867,-1.405185,9.582058,9.701768,9.010007,247.64563
,0.1975391,-0.448654,-1.596611,9.500702,9.644366,9.901846,254.304413
,0.1996863,-0.333799,-1.462613,9.763913,9.878494,8.735138,257.144104
,0.2018334,-0.56351,-1.505684,9.653843,9.786793,9.45484,249.481384
,0.2039806,-0.697508,-1.92682,9.251849,9.476068,12.488776,250.099777
,0.2061277,-0.482154,-2.252244,9.304491,9.585334,13.90374,257.916687
